# Approximate manual digitization of GE ET-T509B page 3 average plate curves.
# Source graph resolution supports about +/-0.05 mA; this is not metrology data.
# v_gk_v,v_pk_v,i_plate_ma
0.0,50,0.75
0.0,100,1.90
0.0,150,3.35
-0.5,100,0.75
-0.5,150,1.90
-0.5,200,3.35
-1.0,100,0.10
-1.0,150,0.80
-1.0,200,1.95
-1.0,250,3.35
-1.5,150,0.15
-1.5,200,0.85
-1.5,250,2.00
-1.5,300,3.40
-2.0,150,0.02
-2.0,200,0.25
-2.0,250,0.95
-2.0,300,2.05
-2.0,350,3.45
-2.5,200,0.05
-2.5,250,0.35
-2.5,300,1.05
-2.5,350,2.15
-2.5,400,3.55
-3.0,250,0.10
-3.0,300,0.45
-3.0,350,1.15
-3.0,400,2.25

